total_files,total_lines,source_files,source_lines,test_files,test_lines,doc_files,doc_lines,avg_file_size,max_file_size,commit_hash,date
14,980,3,614,0,0,0,0,70.0,356,33850c0ebd23,2010-04-06 11:12:57
80,9427,7,1564,5,706,30,3037,117.8375,943,9f0b2429d638,2010-04-20 08:51:36
90,10604,7,1997,5,1133,39,4099,117.82222222222222,1224,e52f073e3e76,2010-05-18 16:02:28
105,13088,7,2326,5,1367,49,5806,124.64761904761905,1535,bc662a546ed9,2010-06-30 23:45:39
131,15372,18,2949,12,1690,55,7099,117.34351145038168,1141,05108673685c,2010-07-20 14:05:01
138,16640,18,3120,14,2315,59,7511,120.57971014492753,1424,07688d7b9302,2011-01-16 13:29:56
140,17329,18,3259,14,2506,61,7850,123.77857142857142,1618,311c244f2e9f,2011-06-08 00:45:26
157,19685,23,4567,21,2949,63,8410,125.38216560509554,1950,2d78a331c142,2011-07-12 20:54:55
173,21428,25,5036,34,3794,64,8782,123.86127167630057,1543,2e4c39199d3c,2011-08-26 19:30:41
190,22717,28,5361,46,4364,66,9140,119.56315789473685,1518,b6625ec19329,2012-01-04 23:04:50
197,23557,28,5509,51,4820,67,9320,119.57868020304568,1565,eac350d1e6d5,2012-03-14 02:27:24
208,24798,32,6015,53,5112,68,9699,119.22115384615384,1701,ee3e251f9eb5,2012-07-01 11:12:36
210,25702,32,6305,54,5448,70,9963,122.39047619047619,1758,c549e583c4ca,2012-12-19 14:49:13
214,26395,33,6634,55,5612,71,10119,123.3411214953271,1814,62e7275bdf2b,2013-05-22 18:17:29
221,27499,33,6776,55,5902,73,10343,124.42986425339366,1842,d94b1bec24f4,2013-06-14 08:54:27
222,27778,33,6821,55,6028,73,10416,125.12612612612612,1840,b2971ec68c99,2014-01-06 16:28:03
223,28235,33,6983,55,6223,73,10491,126.61434977578476,1871,696bffc9e990,2014-04-11 11:28:38
227,29270,35,7558,55,6265,75,10879,128.94273127753303,1923,22219f51e5a1,2014-07-24 19:30:50
198,28935,34,7611,31,5844,75,10915,146.13636363636363,1889,37fb0516f47f,2014-09-28 01:39:43
198,29098,34,7656,31,5977,75,10887,146.95959595959596,1909,33534bb4a993,2015-01-02 02:35:00
202,29621,35,7921,32,6154,77,10963,146.63861386138615,2003,a6c6cc18f5ea,2015-04-11 12:05:22
205,30066,35,7921,33,6381,78,11009,146.66341463414633,1975,b8dc6c12b76c,2015-10-24 19:16:05
207,30091,34,7842,36,6497,78,10993,145.3671497584541,1990,96ec24f6e0ff,2016-05-22 09:36:40
210,30464,34,7898,37,6645,80,11121,145.06666666666666,1991,16471795117b,2016-06-25 10:15:14
212,30551,37,7914,37,6929,80,11280,144.10849056603774,2000,b2e0886f484a,2016-12-21 20:22:26
221,31107,40,8081,39,7296,80,11247,140.7556561085973,2074,970a8009f184,2017-04-25 15:46:22
221,31815,40,8263,39,7783,80,11266,143.95927601809956,2080,2eb28165a9f5,2017-05-23 23:45:11
228,34114,42,8698,41,8105,82,11660,149.62280701754386,2207,1e112cccaa94,2017-06-14 19:56:42
229,34194,38,8124,45,8127,83,11715,149.3187772925764,2183,28d0f66c1f5a,2017-12-16 15:00:00
216,34898,30,8282,46,8726,87,13855,161.5648148148148,2307,fc6a1d935412,2018-04-19 13:16:11
216,35135,30,8322,46,8768,87,14004,162.66203703703704,2315,99c56eaafa05,2018-05-28 13:57:15
217,35066,30,8260,46,8803,88,13971,161.59447004608296,2317,10d0ed68a342,2019-01-06 18:25:47
219,35876,30,8603,46,9062,91,14179,163.8173515981735,2395,6dbcbdee3553,2019-05-17 20:26:54
209,34506,29,8186,46,8809,90,14062,165.10047846889952,2340,54cbb4e64297,2019-06-27 14:55:22
214,36149,29,8700,49,9397,92,14578,168.92056074766356,2455,25a5d3031167,2019-11-19 17:37:21
213,34510,28,8068,49,9110,91,13819,162.018779342723,2373,6eeb912a63a0,2020-06-07 23:50:17
213,34630,29,8033,49,9132,90,13952,162.58215962441315,2034,7e312c421ee1,2020-09-28 14:21:13
219,34764,29,7931,51,8868,92,14428,158.73972602739727,2032,4846e25e9263,2021-02-25 17:51:58
227,35836,30,8462,52,9107,95,14690,157.86784140969164,2075,22d82e70b364,2021-05-11 23:33:46
227,36188,30,8686,52,9148,95,14777,159.41850220264317,2093,7b3bb7b13f27,2021-07-01 10:12:32
227,36354,30,8688,52,9252,95,14829,160.1497797356828,2083,1b552d0b0163,2021-11-12 00:12:08
231,36531,30,8653,56,9176,95,15118,158.14285714285714,2095,08a283af5efc,2022-03-25 18:54:03
232,36990,30,8916,58,9391,94,15094,159.43965517241378,2294,6e23239567ef,2022-06-06 22:11:01
239,37706,31,9680,59,9349,99,14759,157.76569037656904,2548,723a3a6ffdb2,2022-08-03 17:02:18
232,37832,28,9671,57,9363,95,14155,163.06896551724137,2551,88069bd417f5,2023-02-01 16:55:09
240,37276,32,9073,57,9234,97,14463,155.31666666666666,2213,8728c3e4cd4e,2023-04-25 18:35:06
237,37202,32,9035,57,9187,97,14486,156.9704641350211,2213,6d49a1e4b74f,2023-08-16 20:38:05
241,37632,34,9246,58,9209,98,14634,156.149377593361,1890,be508c618411,2024-04-07 18:04:59
241,38053,34,9440,59,9293,97,14776,157.89626556016597,1894,e13373f838ab,2024-11-08 16:09:01
226,39114,34,9681,54,9441,91,14014,173.07079646017698,1944,2579ce9f18e6,2025-11-17 18:05:51
