source,other,date,commit_hash,documentation,test,config
3,11,2010-04-06 11:12:57,33850c0ebd23,,,
9,46,2010-05-04 09:42:12,a76aabc7f07c,36.0,5.0,
17,45,2010-07-05 09:06:29,56796f0f439a,50.0,12.0,1.0
18,45,2011-01-24 12:51:06,4228d7281fd9,60.0,14.0,2.0
22,48,2011-07-06 08:25:52,805276a8aaa8,63.0,21.0,2.0
27,48,2011-09-19 22:03:24,54875e93173f,66.0,43.0,2.0
28,49,2012-03-31 07:40:16,c2698416a835,67.0,51.0,2.0
32,53,2012-10-19 16:20:37,af76dd0fd443,70.0,54.0,1.0
32,53,2013-06-02 10:54:22,c629f69e698f,71.0,55.0,2.0
33,59,2014-02-08 17:24:33,58b4fc209a87,73.0,55.0,2.0
35,60,2014-07-05 15:32:31,f5b15c2a3593,75.0,55.0,2.0
34,56,2014-11-05 05:04:06,5562acfdfc8b,75.0,31.0,2.0
35,56,2015-05-31 16:59:14,0d19fa0a061d,77.0,33.0,2.0
34,57,2016-05-16 17:36:55,88500f5cc709,78.0,36.0,2.0
37,54,2016-09-18 13:47:52,dcfdfc6476b7,80.0,37.0,4.0
37,54,2017-05-16 06:40:08,f347d3c59e33,80.0,38.0,4.0
42,59,2017-06-14 21:08:42,34050630d679,82.0,41.0,4.0
28,45,2018-04-09 08:09:03,c3e2ff2afa22,86.0,44.0,3.0
30,48,2018-09-17 15:35:53,0f4c9f1d57cc,87.0,46.0,4.0
30,48,2019-05-19 04:23:14,2039e2e3b628,91.0,46.0,4.0
29,40,2019-10-26 06:19:00,07caa442241b,92.0,49.0,4.0
28,40,2020-07-21 04:16:19,f32f19162c93,91.0,49.0,5.0
29,40,2021-03-15 18:36:59,020331522be0,92.0,51.0,7.0
30,42,2021-06-18 14:18:15,7b696e076a8e,95.0,52.0,8.0
30,42,2022-01-14 17:34:07,aab064fee164,95.0,56.0,8.0
30,42,2022-06-18 19:20:53,46433e9807a1,99.0,58.0,8.0
31,42,2023-01-20 21:42:50,99b34f7148b7,94.0,57.0,8.0
32,43,2023-06-09 16:41:25,4bcd4be6b7d6,97.0,57.0,11.0
34,40,2024-05-11 15:40:26,255c8d66af6d,98.0,58.0,11.0
34,37,2025-11-17 18:05:51,2579ce9f18e6,91.0,54.0,10.0
